# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ctrl01;566;2022-05-11 12:20:06 UTC;-1;1.55;0.00;1.09;0.01;0.00;97.35
ctrl01;554;2022-05-11 12:30:03 UTC;-1;2.14;0.00;1.43;0.01;0.00;96.43
ctrl01;567;2022-05-11 12:40:04 UTC;-1;1.58;0.00;1.06;0.01;0.00;97.35
ctrl01;568;2022-05-11 12:50:01 UTC;-1;1.47;0.00;1.08;0.01;0.00;97.45
ctrl01;556;2022-05-11 13:00:03 UTC;-1;1.72;0.00;1.15;0.01;0.00;97.13
ctrl01;556;2022-05-11 13:10:01 UTC;-1;3.34;0.00;2.08;0.01;0.00;94.56
ctrl01;551;2022-05-11 13:20:03 UTC;-1;3.60;0.00;2.14;0.01;0.00;94.24
ctrl01;564;2022-05-11 13:30:05 UTC;-1;0.95;0.00;0.68;0.01;0.00;98.36
ctrl01;556;2022-05-11 13:40:03 UTC;-1;1.70;0.00;1.11;0.01;0.00;97.18
ctrl01;569;2022-05-11 13:50:01 UTC;-1;1.54;0.00;1.04;0.01;0.00;97.42
ctrl01;572;2022-05-11 14:00:01 UTC;-1;0.95;0.00;0.67;0.01;0.00;98.37
ctrl01;563;2022-05-11 14:10:03 UTC;-1;1.92;0.00;1.19;0.01;0.00;96.88
ctrl01;568;2022-05-11 17:40:01 UTC;-1;1.06;0.00;0.82;0.01;0.00;98.11
ctrl01;559;2022-05-11 17:50:03 UTC;-1;1.28;0.00;1.16;0.06;0.00;97.50
ctrl01;565;2022-05-11 18:00:01 UTC;-1;1.61;0.00;1.16;0.01;0.00;97.23
ctrl01;552;2022-05-11 18:10:02 UTC;-1;2.92;0.00;1.89;0.01;0.00;95.18
ctrl01;563;2022-05-11 18:20:04 UTC;-1;0.87;0.00;0.75;0.01;0.00;98.38
ctrl01;575;2022-05-11 18:30:06 UTC;-1;0.29;0.00;0.29;0.00;0.00;99.42
ctrl01;572;2022-05-11 18:40:01 UTC;-1;0.15;0.00;0.20;0.00;0.00;99.64
ctrl01;570;2022-05-11 18:50:04 UTC;-1;0.12;0.00;0.18;0.00;0.00;99.70
ctrl01;567;2022-05-11 19:00:03 UTC;-1;0.11;0.00;0.16;0.00;0.00;99.72
ctrl01;572;2022-05-11 19:10:03 UTC;-1;0.21;0.00;0.26;0.00;0.00;99.53
ctrl01;575;2022-05-11 19:20:02 UTC;-1;0.47;0.00;0.48;0.00;0.00;99.05
ctrl01;569;2022-05-11 19:30:03 UTC;-1;1.15;0.00;0.90;0.01;0.00;97.94
ctrl01;575;2022-05-11 19:40:02 UTC;-1;1.77;0.00;1.23;0.01;0.00;97.00
ctrl01;571;2022-05-11 19:50:03 UTC;-1;1.08;0.00;0.77;0.01;0.00;98.14
ctrl01;579;2022-05-11 20:00:04 UTC;-1;0.36;0.00;0.32;0.00;0.00;99.31
ctrl01;580;2022-05-11 20:10:04 UTC;-1;0.37;0.00;0.35;0.00;0.00;99.27
ctrl01;569;2022-05-11 20:20:03 UTC;-1;0.89;0.00;1.16;0.00;0.00;97.95
ctrl01;576;2022-05-11 20:30:03 UTC;-1;0.61;0.00;0.80;0.00;0.00;98.59
ctrl01;574;2022-05-11 20:40:01 UTC;-1;0.11;0.00;0.16;0.00;0.00;99.72
ctrl01;573;2022-05-11 20:50:01 UTC;-1;0.08;0.00;0.15;0.00;0.00;99.77
